伦晚橙（果体偏软）
校园冰糖橙
冰糖橙,千禧番茄,埃及橙（口感酸爽）,皇冠梨,砀山梨,菠萝
不知火丑柑,天山雪梨,智利黑布林,越南白心火龙果
Q版红心火龙果,国产香蕉,水晶富士,海南毛椰子,秦冠苹果
Q版白心火龙果,东方小蜜瓜,水晶富士,绿宝甜瓜
天山雪梨,新疆库尔勒香梨
Q版白心火龙果,枇杷,海南木瓜,红颜草莓
冰糖橙,千禧番茄,新疆库尔勒香梨,烟台水晶富士,黄蕉苹果
校园烟台水晶富士,校园越南白心火龙果,校园进口香蕉,甘蔗（一段）
校园冰糖橙
水晶富士
水晶富士
水晶富士
不知火丑柑,乳黄瓜,伦晚橙（果体偏软）,四川黄柠檬,埃及橙（口感酸爽）,小红金龙芒果,常山胡柚【不打蜡】,海南金钻凤梨,皇冠梨,阿克苏苹果
乳黄瓜,伦晚橙（果体偏软）,冰糖橙,小红金龙芒果,希腊绿心猕猴桃,常山胡柚【不打蜡】,常山胡柚【不打蜡】,海南新鲜木瓜
乳黄瓜,伦晚橙（果体偏软）,埃及橙（口感酸爽）
大台农芒果（微软带黑点）,砀山梨,红霞草莓,阿克苏苹果,黄蕉苹果
优乐美奶茶麦香味
小蜜蜂甜瓜,常山胡柚【不打蜡】,新疆库尔勒香梨,智利黑布林,澳洲无籽红提
美早大樱桃一斤装
冰糖橙
冰糖橙
【超值】泰国金枕榴莲(大)
【超值】泰国金枕榴莲(大)
不知火丑柑,天山雪梨,小红金龙芒果,美国新奇士红心橙
菲律宾凤梨
菲律宾凤梨
四川黄柠檬,小蜜蜂甜瓜,智利黑布林
冰糖橙,大台农芒果（微软带黑点）,小红金龙芒果,烟台水晶富士,菠萝,阿克苏苹果
泰国椰皇
乳黄瓜,阿克苏苹果
冰糖橙
冰糖橙
Q版白心火龙果,国产香蕉,安岳黄柠檬,秦冠苹果
智利黑布林,黑珍珠莲雾
Q版红心火龙果,泰国椰青
乳黄瓜,天山雪梨,常山胡柚【不打蜡】,进口山竹
泰国椰皇
水晶富士,秦冠苹果,阳光小金桔,鸭梨
智利黑布林,进口红提,阿克苏苹果
招牌-黄金甜枇杷(中)
不知火丑柑,黄蕉苹果
乳黄瓜,天山雪梨,小红金龙芒果,海南新鲜木瓜,红霞草莓,菠萝
以色列西柚
以色列西柚
Q版红心火龙果,佳农甜蕉,国产香蕉,秦冠苹果
Q版红心火龙果,佳农甜蕉,美早大樱桃,越南香芒
希腊绿心猕猴桃,新疆库尔勒香梨,智利黑布林
千禧果,阿克苏苹果,雪莲果
伦晚橙（果体偏软）,精品麒麟瓜,金香蜜瓜
乳黄瓜,冰糖橙,平谷水蜜桃,砀山梨,阿克苏苹果
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
海南金钻凤梨
