不知火丑柑,小台农芒果（微软带黑点）,澳洲无籽红提,烟台水晶富士
不知火丑柑,乳黄瓜,急冻榴莲干,阿克苏苹果
Q版白心火龙果,国产香蕉,洛川小苹果,皇冠梨
水晶富士,秦冠苹果
以色列西柚
玉菇甜瓜,皇冠梨,精品麒麟瓜,韩国啵乐乐热带水果味乳饮料
新疆库尔勒香梨,烟台水晶富士,玉菇甜瓜,砀山梨
黄蕉苹果
海南金钻凤梨,澳洲无籽红提,红霞草莓
新疆库尔勒香梨,红颜草莓,进口红提,黑美人西瓜
Q版白心火龙果,菲律宾香蕉,进口山竹,进口红提,阳光甜橙
校园海南木瓜,校园进口香蕉,甘蔗（一段）
冰糖橙,进口香蕉
埃及橙（口感酸爽）,希腊绿心猕猴桃,皇冠梨,进口香蕉
泰国椰皇,精品西洲蜜瓜25号,精品麒麟瓜,象牙芒
泰国金枕榴莲(大)
冰糖橙,四川黄柠檬,天山雪梨,天山雪梨,小青桔,海南新鲜木瓜,烟台水晶富士,黄蕉苹果
小台芒,红颜草莓
皇冠梨,红霞草莓
泰国椰皇,越南红心火龙果
希腊绿心猕猴桃
希腊绿心猕猴桃
埃及橙（口感酸爽）,天山雪梨,越南白心火龙果,越南红心火龙果,进口西梅
不知火丑柑,小台农芒果（微软带黑点）,澳洲无籽红提,红霞草莓,黄蕉苹果
烟台水晶富士,皇冠梨
不知火丑柑,四川黄柠檬,埃及橙（口感酸爽）,小台农芒果（微软带黑点）,红霞草莓,阿克苏苹果
泰国金枕榴莲-大
皇冠梨,阿克苏苹果,黄蕉苹果
伦晚橙（果体偏软）,天山雪梨,烟台水晶富士,皇冠梨
伦晚橙（果体偏软）,天山雪梨,皇冠梨,进口红提,进口香蕉,阿克苏苹果
杨桃,海南帝王蕉,美早大樱桃一斤装,越南紫薯
【超值】泰国金枕榴莲(大)
【超值】泰国金枕榴莲(大)
伦晚橙（果体偏软）,埃及橙（口感酸爽）,天山雪梨,皇冠梨,阿克苏苹果,黄蕉苹果
不知火丑柑,阿克苏苹果,黄蕉苹果
丫米水果玉米,水晶富士,海南帝王蕉,鸭梨,鸭梨
越南紫薯
越南紫薯
佳农甜蕉,新疆库尔勒香梨,水晶富士,维他奶原味豆奶4盒
伦晚橙（果体偏软）,冰糖橙,常山胡柚【不打蜡】,海南金钻凤梨,皇冠梨
美早大樱桃
泰国金枕榴莲-中
泰国金枕榴莲-中
越南红心火龙果
越南红心火龙果
越南红心火龙果
伦晚橙（果体偏软）,美早大樱桃,进口香蕉
埃及橙（口感酸爽）,天山雪梨
丫米水果玉米,进口无籽青提
乳黄瓜,冰糖橙,澳洲无籽红提
